,Date,Low,High,Close,Open
4392,2022-01-28,2571.0,2667.13,2667.02,2593.18
4391,2022-01-27,2578.6458,2653.045,2580.1,2626.08
4390,2022-01-26,2542.84,2660.0,2584.66,2622.38
4389,2022-01-25,2530.01,2587.98,2538.7,2574.8
4388,2022-01-24,2490.0,2624.06,2616.08,2519.56
4387,2022-01-21,2601.73,2697.3106,2607.03,2651.87
4386,2022-01-20,2659.2931,2752.52,2666.15,2725.0
4385,2022-01-19,2700.31,2759.19,2702.33,2730.47
4384,2022-01-18,2708.765,2742.63,2719.96,2723.5
4383,2022-01-14,2739.97,2814.84,2789.61,2741.58
4382,2022-01-13,2768.18,2857.0,2771.74,2830.8
4381,2022-01-12,2813.89,2852.155,2828.61,2823.0
4380,2022-01-11,2733.845,2804.32,2794.72,2760.14
4379,2022-01-10,2663.29,2776.39,2773.39,2701.56
4378,2022-01-07,2715.33,2768.97,2740.34,2762.91
4377,2022-01-06,2731.17,2798.8,2754.95,2739.97
4376,2022-01-05,2753.76,2889.9875,2755.5,2888.4
4375,2022-01-04,2874.325,2929.6978,2887.99,2907.92
4374,2022-01-03,2874.255,2917.02,2899.83,2901.1
4373,2021-12-31,2897.04,2933.97,2897.04,2921.0
4372,2021-12-30,2919.89,2946.0,2924.01,2933.88
4371,2021-12-29,2912.95,2948.34,2933.1,2932.8857
4370,2021-12-28,2921.0856,2965.9801,2933.74,2964.72
4369,2021-12-27,2943.385,2966.8799,2958.13,2945.12
4368,2021-12-23,2929.04,2964.87,2938.33,2930.0
4367,2021-12-22,2861.35,2930.0,2928.3,2861.35
4366,2021-12-21,2810.05,2877.38,2869.45,2841.07
4365,2021-12-20,2786.42,2835.49,2832.14,2800.0
4364,2021-12-17,2826.0,2876.69,2834.5,2850.0
4363,2021-12-16,2872.14,2953.535,2888.9,2943.41
4362,2021-12-15,2833.5578,2934.42,2928.82,2868.18
4361,2021-12-14,2824.295,2889.6,2878.14,2879.36
4360,2021-12-13,2910.35,2959.4,2916.53,2955.63
4359,2021-12-10,2934.075,2979.55,2960.03,2974.0
4358,2021-12-09,2942.3001,2982.0,2952.77,2951.82
4357,2021-12-08,2928.12,2967.86,2963.73,2951.93
4356,2021-12-07,2904.55,2950.6234,2945.39,2911.93
4355,2021-12-06,2803.0,2877.05,2863.1,2860.81
4354,2021-12-03,2806.02,2888.0,2840.03,2873.62
4353,2021-12-02,2804.29,2877.29,2859.32,2825.0
4352,2021-12-01,2818.24,2919.005,2821.03,2880.0
4351,2021-11-30,2832.03,2920.0,2837.95,2900.17
4350,2021-11-29,2877.87,2925.95,2910.61,2880.0
4349,2021-11-26,2836.85,2891.15,2843.66,2886.97
4348,2021-11-24,2887.46,2924.985,2922.4,2909.47
